0, 0.0
6, 0.0
11, 0.0
1001, 0.0
1005, 0.0
1007, 0.0
1013, 0.0
2018, 45.0
2026, 44.0
2036, 45.0
2052, 45.0
3044, 64.0
3075, 65.0
3088, 64.0
3107, 64.0
4015, 64.0
4051, 65.0
4058, 65.0
4077, 64.0
5030, 64.0
5078, 65.0
5096, 65.0
5103, 65.0
6031, 65.0
6073, 66.0
6109, 66.0
6114, 64.0
7037, 64.0
7105, 64.0
7106, 64.0
7115, 66.0
8038, 65.0
8107, 65.0
8111, 65.0
8113, 65.0
9048, 64.0
9111, 64.0
9113, 64.0
9116, 65.0
10046, 64.0
10119, 65.0
10122, 64.0
10143, 64.0
11051, 64.0
11118, 64.0
11127, 64.0
11171, 65.0
12066, 64.0
12134, 65.0
12198, 65.0
12224, 65.0
13065, 65.0
13145, 65.0
13198, 66.0
13255, 66.0
14067, 64.0
14142, 64.0
14205, 66.0
14215, 66.0
15074, 65.0
15158, 64.0
15218, 63.0
16080, 64.0
16166, 64.0
16235, 64.5
17082, 64.0
17167, 66.0
17225, 66.0
18091, 65.0
18170, 64.0
18224, 64.0
18244, 64.0
19093, 64.0
19177, 64.0
19232, 64.0
19239, 64.0
20107, 64.0
20182, 65.0
20256, 65.0
20261, 65.0
21107, 65.0
21197, 65.0
21256, 65.0
22114, 64.0
22203, 64.0
22268, 60.0
22282, 61.0
23118, 64.0
23202, 63.0
23274, 64.0
23293, 64.0
24120, 65.0
24213, 65.0
24281, 69.0
25144, 64.0
25316, 64.0
25331, 63.0
25343, 64.0
26153, 65.0
26346, 67.0
26361, 65.0
26364, 66.0
27159, 64.0
27300, 65.0
27379, 63.0
27441, 64.0
28179, 48.0
28349, 49.0
28431, 50.0
28439, 51.0
29174, 82.0
29292, 80.0
29400, 83.0
29451, 83.0
30192, 64.0
30370, 65.0
30444, 62.0
30553, 63.0
31202, 65.0
31365, 66.0
31467, 63.0
31521, 62.0
32185, 8.0
32352, 0.0
32423, 0.0
32441, 0.0
