0, 1
8022, 1
8023, 1
8028, 1
8029, 2
8030, 4
8031, 4
9172, 1
10232, 1
11196, 1
12036, 2
12037, 2
12263, 3
12266, 1
13044, 2
13243, 4
14275, 1
15043, 1
15044, 3
16050, 4
16249, 1
17053, 1
17054, 3
18078, 2
18079, 2
18334, 1
18335, 3
19074, 4
19276, 2
19277, 2
20106, 2
20107, 2
20333, 1
20334, 3
21113, 1
21114, 2
21116, 1
22089, 2
22090, 2
23193, 1
23194, 3
23623, 1
23624, 3
24257, 1
24258, 2
24259, 1
24751, 1
25215, 2
25217, 2
25268, 2
25795, 3
25796, 1
26298, 1
26300, 1
26301, 1
26302, 1
26320, 1
26321, 1
27198, 2
27201, 1
27203, 1
28289, 2
28291, 2
29266, 1
29268, 1
29271, 2
30129, 2
30130, 2
